Keyword,CatID,CatID_fixed,map_status,note
rifle reload,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
magic explosion,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic fireball,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
fireball impact,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic bolt,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
fire spell,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
ice spell,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
lightning spell,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
elemental spell,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
weapon impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
gun impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
bullet impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
rifle impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
pistol impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
shotgun impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
laser impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
plasma impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
energy impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
weapon reload,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
weapon handling,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
weapon handle,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
fire sword,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
ice sword,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
fire arrow,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
ice arrow,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
explosive arrow,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
beam hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
spaceship engine,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
spaceship door,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
spaceship hatch,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
spaceship alarm,ALARM,,AMBIGUOUS,SubCategory 'ALARM' maps to 2 CatIDs
engine reactor,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
reactor core,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
reactor hum,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
reactor meltdown,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
reactor startup,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
reactor shutdown,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
starship engine,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
drone engine,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
drone flyby,VEHICLE,,AMBIGUOUS,SubCategory 'VEHICLE' maps to 3 CatIDs
drone passby,VEHICLE,,AMBIGUOUS,SubCategory 'VEHICLE' maps to 3 CatIDs
robot step,MECHANISM,,AMBIGUOUS,SubCategory 'MECHANISM' maps to 7 CatIDs
robot movement,MECHANISM,,AMBIGUOUS,SubCategory 'MECHANISM' maps to 7 CatIDs
robot arm,MECHANISM,,AMBIGUOUS,SubCategory 'MECHANISM' maps to 7 CatIDs
robot servo,MECHANISM,,AMBIGUOUS,SubCategory 'MECHANISM' maps to 7 CatIDs
robot joint,MECHANISM,,AMBIGUOUS,SubCategory 'MECHANISM' maps to 7 CatIDs
mech step,MECHANISM,,AMBIGUOUS,SubCategory 'MECHANISM' maps to 7 CatIDs
mech movement,MECHANISM,,AMBIGUOUS,SubCategory 'MECHANISM' maps to 7 CatIDs
mech servo,MECHANISM,,AMBIGUOUS,SubCategory 'MECHANISM' maps to 7 CatIDs
mech cockpit,VEHICLE,,AMBIGUOUS,SubCategory 'VEHICLE' maps to 3 CatIDs
fire magic,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
ice magic,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
lightning magic,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
storm magic,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
elemental magic,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic storm,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic lightning,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic fire,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic ice,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic wind,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic earth,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic stone,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic rock,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic crystal,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
arcane blast,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
arcane bolt,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
arcane beam,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
gun reload,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
rifle reload,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
pistol reload,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
shotgun reload,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
machinegun reload,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
gun cock,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
rifle cock,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
pistol cock,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
shotgun cock,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
holster gun,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
unholster gun,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
high tech gun,HITECH,,AMBIGUOUS,SubCategory 'HITECH' maps to 5 CatIDs
hitech pistol,HITECH,,AMBIGUOUS,SubCategory 'HITECH' maps to 5 CatIDs
hitech rifle,HITECH,,AMBIGUOUS,SubCategory 'HITECH' maps to 5 CatIDs
sci fi alarm,ALARM,,AMBIGUOUS,SubCategory 'ALARM' maps to 2 CatIDs
scifi alarm,ALARM,,AMBIGUOUS,SubCategory 'ALARM' maps to 2 CatIDs
door open,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
door close,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
airlock open,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
airlock close,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
sci fi door,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
scifi door,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
weapon door,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
sci fi vehicle,VEHICLE,,AMBIGUOUS,SubCategory 'VEHICLE' maps to 3 CatIDs
hover vehicle,VEHICLE,,AMBIGUOUS,SubCategory 'VEHICLE' maps to 3 CatIDs
future vehicle,VEHICLE,,AMBIGUOUS,SubCategory 'VEHICLE' maps to 3 CatIDs
sci fi car,VEHICLE,,AMBIGUOUS,SubCategory 'VEHICLE' maps to 3 CatIDs
sci fi bike,VEHICLE,,AMBIGUOUS,SubCategory 'VEHICLE' maps to 3 CatIDs
hover bike,VEHICLE,,AMBIGUOUS,SubCategory 'VEHICLE' maps to 3 CatIDs
hovercraft passby,VEHICLE,,AMBIGUOUS,SubCategory 'VEHICLE' maps to 3 CatIDs
monster growl,GROWL,,NO_MATCH,not found in ucs_catid_list
monster roar,GROWL,,NO_MATCH,not found in ucs_catid_list
monster scream,SHOUT,,NO_MATCH,not found in ucs_catid_list
monster screech,SHOUT,,NO_MATCH,not found in ucs_catid_list
monster grunt,GRUNT,,NO_MATCH,not found in ucs_catid_list
monster snarl,SNARL,,NO_MATCH,not found in ucs_catid_list
monster groan,GROAN,,NO_MATCH,not found in ucs_catid_list
monster moan,MOAN,,NO_MATCH,not found in ucs_catid_list
monster howl,HOWL,,NO_MATCH,not found in ucs_catid_list
monster shriek,SHOUT,,NO_MATCH,not found in ucs_catid_list
monster chatter,CHATTER,,NO_MATCH,not found in ucs_catid_list
monster click,CLICK,,AMBIGUOUS,SubCategory 'CLICK' maps to 2 CatIDs
monster bite,BITE,,NO_MATCH,not found in ucs_catid_list
monster attack,ATTACK,,NO_MATCH,not found in ucs_catid_list
monster strike,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
monster stomp,FOOTSTEP,,NO_MATCH,not found in ucs_catid_list
monster step,FOOTSTEP,,NO_MATCH,not found in ucs_catid_list
monster footsteps,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
monster walk,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
monster run,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
monster charge,ATTACK,,NO_MATCH,not found in ucs_catid_list
monster scratch,SCRATCH,,NO_MATCH,not found in ucs_catid_list
monster claw,CLAW,,NO_MATCH,not found in ucs_catid_list
monster claw swipe,CLAW,,NO_MATCH,not found in ucs_catid_list
monster swipe,CLAW,,NO_MATCH,not found in ucs_catid_list
monster drool,LIQUID,,NO_MATCH,not found in ucs_catid_list
monster slime,MUD,,NO_MATCH,not found in ucs_catid_list
monster mucus,MUD,,NO_MATCH,not found in ucs_catid_list
creature growl,GROWL,,NO_MATCH,not found in ucs_catid_list
creature roar,GROWL,,NO_MATCH,not found in ucs_catid_list
creature screech,SHOUT,,NO_MATCH,not found in ucs_catid_list
creature grunt,GRUNT,,NO_MATCH,not found in ucs_catid_list
creature groan,GROAN,,NO_MATCH,not found in ucs_catid_list
creature moan,GROAN,,NO_MATCH,not found in ucs_catid_list
creature howl,HOWL,,NO_MATCH,not found in ucs_catid_list
creature snarl,SNARL,,NO_MATCH,not found in ucs_catid_list
creature whimper,WHINE,,NO_MATCH,not found in ucs_catid_list
creature chirp,CHIRP,,NO_MATCH,not found in ucs_catid_list
creature croak,CROAK,,NO_MATCH,not found in ucs_catid_list
creature ribbit,CROAK,,NO_MATCH,not found in ucs_catid_list
creature rustle,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
creature step,FOOTSTEP,,NO_MATCH,not found in ucs_catid_list
creature footsteps,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
creature skitter,SCURRY,,NO_MATCH,not found in ucs_catid_list
creature scurry,SCURRY,,NO_MATCH,not found in ucs_catid_list
creature bite,BITE,,NO_MATCH,not found in ucs_catid_list
creature chew,CHEW,,NO_MATCH,not found in ucs_catid_list
creature munch,CHEW,,NO_MATCH,not found in ucs_catid_list
creature swallow,SWALLOW,,NO_MATCH,not found in ucs_catid_list
creature screech attack,ATTACK,,NO_MATCH,not found in ucs_catid_list
creature charge,ATTACK,,NO_MATCH,not found in ucs_catid_list
creature attack,ATTACK,,NO_MATCH,not found in ucs_catid_list
creature strike,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
creature claw,CLAW,,NO_MATCH,not found in ucs_catid_list
creature scratch,SCRATCH,,NO_MATCH,not found in ucs_catid_list
creature slash,CLAW,,NO_MATCH,not found in ucs_catid_list
animal growl,GROWL,,NO_MATCH,not found in ucs_catid_list
animal roar,GROWL,,NO_MATCH,not found in ucs_catid_list
animal bark,BARK,,NO_MATCH,not found in ucs_catid_list
animal whine,WHINE,,NO_MATCH,not found in ucs_catid_list
animal whimper,WHINE,,NO_MATCH,not found in ucs_catid_list
animal howl,HOWL,,NO_MATCH,not found in ucs_catid_list
dog bark,BARK,,NO_MATCH,not found in ucs_catid_list
dog growl,GROWL,,NO_MATCH,not found in ucs_catid_list
dog whine,WHINE,,NO_MATCH,not found in ucs_catid_list
dog step,FOOTSTEP,,NO_MATCH,not found in ucs_catid_list
dog footsteps,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
dog chew,CHEW,,NO_MATCH,not found in ucs_catid_list
dog shake,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
wolf howl,HOWL,,NO_MATCH,not found in ucs_catid_list
wolf growl,GROWL,,NO_MATCH,not found in ucs_catid_list
wolf snarl,SNARL,,NO_MATCH,not found in ucs_catid_list
wolf footsteps,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
bear growl,GROWL,,NO_MATCH,not found in ucs_catid_list
bear roar,GROWL,,NO_MATCH,not found in ucs_catid_list
bear grunt,GRUNT,,NO_MATCH,not found in ucs_catid_list
bear footsteps,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
lion roar,GROWL,,NO_MATCH,not found in ucs_catid_list
lion growl,GROWL,,NO_MATCH,not found in ucs_catid_list
lion snarl,SNARL,,NO_MATCH,not found in ucs_catid_list
tiger growl,GROWL,,NO_MATCH,not found in ucs_catid_list
tiger roar,GROWL,,NO_MATCH,not found in ucs_catid_list
tiger snarl,SNARL,,NO_MATCH,not found in ucs_catid_list
bird chirp,CHIRP,,NO_MATCH,not found in ucs_catid_list
bird tweet,CHIRP,,NO_MATCH,not found in ucs_catid_list
bird song,CHIRP,,NO_MATCH,not found in ucs_catid_list
bird screech,SHOUT,,NO_MATCH,not found in ucs_catid_list
bird caw,SHOUT,,NO_MATCH,not found in ucs_catid_list
bird call,CHIRP,,NO_MATCH,not found in ucs_catid_list
eagle screech,SHOUT,,NO_MATCH,not found in ucs_catid_list
owl hoot,HOOT,,NO_MATCH,not found in ucs_catid_list
insect buzz,BUZZ,,NO_MATCH,not found in ucs_catid_list
insect hum,BUZZ,,NO_MATCH,not found in ucs_catid_list
insect swarm,BUZZ,,NO_MATCH,not found in ucs_catid_list
mosquito buzz,BUZZ,,NO_MATCH,not found in ucs_catid_list
fly buzz,BUZZ,,NO_MATCH,not found in ucs_catid_list
bee buzz,BUZZ,,NO_MATCH,not found in ucs_catid_list
bee swarm,BUZZ,,NO_MATCH,not found in ucs_catid_list
bee hive hum,BUZZ,,NO_MATCH,not found in ucs_catid_list
bat screech,SHOUT,,NO_MATCH,not found in ucs_catid_list
bat chirp,CHIRP,,NO_MATCH,not found in ucs_catid_list
snake slither,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
snake strike,BITE,,NO_MATCH,not found in ucs_catid_list
snake rattle,RATTLE,,NO_MATCH,not found in ucs_catid_list
rat scurry,SCURRY,,NO_MATCH,not found in ucs_catid_list
rat footsteps,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
mouse scurry,SCURRY,,NO_MATCH,not found in ucs_catid_list
frog croak,CROAK,,NO_MATCH,not found in ucs_catid_list
frog ribbit,CROAK,,NO_MATCH,not found in ucs_catid_list
dragon roar,GROWL,,NO_MATCH,not found in ucs_catid_list
dragon growl,GROWL,,NO_MATCH,not found in ucs_catid_list
dragon fire breath,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
dragon screech,SHOUT,,NO_MATCH,not found in ucs_catid_list
dragon stomp,FOOTSTEP,,NO_MATCH,not found in ucs_catid_list
dragon attack,ATTACK,,NO_MATCH,not found in ucs_catid_list
undead groan,GROAN,,NO_MATCH,not found in ucs_catid_list
zombie groan,GROAN,,NO_MATCH,not found in ucs_catid_list
zombie moan,GROAN,,NO_MATCH,not found in ucs_catid_list
zombie scream,SHOUT,,NO_MATCH,not found in ucs_catid_list
zombie snarl,SNARL,,NO_MATCH,not found in ucs_catid_list
zombie footsteps,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
zombie attack,ATTACK,,NO_MATCH,not found in ucs_catid_list
ghost wail,SHOUT,,NO_MATCH,not found in ucs_catid_list
ghost moan,GROAN,,NO_MATCH,not found in ucs_catid_list
ghost float,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
spirit wail,SHOUT,,NO_MATCH,not found in ucs_catid_list
spirit moan,GROAN,,NO_MATCH,not found in ucs_catid_list
spirit howl,HOWL,,NO_MATCH,not found in ucs_catid_list
demon roar,GROWL,,NO_MATCH,not found in ucs_catid_list
demon growl,GROWL,,NO_MATCH,not found in ucs_catid_list
demon scream,SHOUT,,NO_MATCH,not found in ucs_catid_list
demon howl,HOWL,,NO_MATCH,not found in ucs_catid_list
demon attack,ATTACK,,NO_MATCH,not found in ucs_catid_list
demon strike,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
witch cackle,SHOUT,,NO_MATCH,not found in ucs_catid_list
witch laugh,SHOUT,,NO_MATCH,not found in ucs_catid_list
witch chant,CHANT,,NO_MATCH,not found in ucs_catid_list
goblin scream,SHOUT,,NO_MATCH,not found in ucs_catid_list
goblin chatter,CHATTER,,NO_MATCH,not found in ucs_catid_list
goblin footsteps,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
goblin snarl,SNARL,,NO_MATCH,not found in ucs_catid_list
troll roar,GROWL,,NO_MATCH,not found in ucs_catid_list
troll growl,GROWL,,NO_MATCH,not found in ucs_catid_list
troll footsteps,FOOTSTEPS,,AMBIGUOUS,Category 'FOOTSTEPS' has 5 CatIDs
troll attack,ATTACK,,NO_MATCH,not found in ucs_catid_list
ogre roar,GROWL,,NO_MATCH,not found in ucs_catid_list
ogre growl,GROWL,,NO_MATCH,not found in ucs_catid_list
ogre stomp,FOOTSTEP,,NO_MATCH,not found in ucs_catid_list
ogre impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
wind howl,HOWL,,NO_MATCH,not found in ucs_catid_list
water pour,LIQUID,,NO_MATCH,not found in ucs_catid_list
water flow,LIQUID,,NO_MATCH,not found in ucs_catid_list
water stream,LIQUID,,NO_MATCH,not found in ucs_catid_list
water rush,LIQUID,,NO_MATCH,not found in ucs_catid_list
water swirl,LIQUID,,NO_MATCH,not found in ucs_catid_list
river flow,STREAM,,NO_MATCH,not found in ucs_catid_list
creek flow,STREAM,,NO_MATCH,not found in ucs_catid_list
creek trickle,STREAM,,NO_MATCH,not found in ucs_catid_list
lake ambience,AMBIENCE,,AMBIGUOUS,Category 'AMBIENCE' has 47 CatIDs
forest birds,CHIRP,,NO_MATCH,not found in ucs_catid_list
forest insects,BUZZ,,NO_MATCH,not found in ucs_catid_list
forest leaves,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
forest rustle,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
forest creek,STREAM,,NO_MATCH,not found in ucs_catid_list
jungle ambience,JUNGLE,,NO_MATCH,not found in ucs_catid_list
jungle birds,CHIRP,,NO_MATCH,not found in ucs_catid_list
jungle insects,BUZZ,,NO_MATCH,not found in ucs_catid_list
jungle monkeys,CHATTER,,NO_MATCH,not found in ucs_catid_list
jungle rustle,FOLIAGE,,NO_MATCH,not found in ucs_catid_list
mountain ambience,MOUNTAIN,,NO_MATCH,not found in ucs_catid_list
mountain echo,ECHO,,NO_MATCH,not found in ucs_catid_list
cave ambience,CAVE,,NO_MATCH,not found in ucs_catid_list
cave echo,ECHO,,NO_MATCH,not found in ucs_catid_list
underground ambience,AMBIENCE,,AMBIGUOUS,Category 'AMBIENCE' has 47 CatIDs
swamp insects,BUZZ,,NO_MATCH,not found in ucs_catid_list
swamp frogs,CROAK,,NO_MATCH,not found in ucs_catid_list
swamp mud,MUD,,NO_MATCH,not found in ucs_catid_list
mud splash,MUD,,NO_MATCH,not found in ucs_catid_list
mud slosh,MUD,,NO_MATCH,not found in ucs_catid_list
fire crackle,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
fire burn,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
fire roar,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
fire woosh,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
campfire crackle,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
forest fire,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
wildfire roar,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
ice crack,ICE,,AMBIGUOUS,Category 'ICE' has 8 CatIDs
ice break,ICE,,AMBIGUOUS,Category 'ICE' has 8 CatIDs
ice shatter,ICE,,AMBIGUOUS,Category 'ICE' has 8 CatIDs
