Keyword,CatID,Status,Reason
balloon deflate long,FARTDsgn,SAFE,Specific term or phrase
balloon deflate short,FARTDsgn,SAFE,Specific term or phrase
balloon deflate wet,FARTDsgn,SAFE,Specific term or phrase
balloon deflate,FARTDsgn,SAFE,Specific term or phrase
bloaty,FARTDsgn,SAFE,Specific term or phrase
mouth short,FARTDsgn,SAFE,Specific term or phrase
slime blow,FARTDsgn,SAFE,Specific term or phrase
party blower big long,HORNCele,SAFE,Specific term or phrase
party blower big short,HORNCele,SAFE,Specific term or phrase
party blower small long,HORNCele,SAFE,Specific term or phrase
party blower small short,HORNCele,SAFE,Specific term or phrase
party blower small,HORNCele,SAFE,Specific term or phrase
horn bicycle big double,HORNMisc,SAFE,Specific term or phrase
horn bicycle big short,HORNMisc,SAFE,Specific term or phrase
horn bicycle big,HORNMisc,SAFE,Specific term or phrase
horn bicycle small double,HORNMisc,SAFE,Specific term or phrase
horn bicycle small short,HORNMisc,SAFE,Specific term or phrase
horn bicycle small,HORNMisc,SAFE,Specific term or phrase
kazoo short cow,MUSCMisc,SAFE,Specific term or phrase
kazoo short simple,MUSCMisc,SAFE,Specific term or phrase
kazoo short,MUSCMisc,SAFE,Specific term or phrase
whistle slide flute long,MUSCMisc,SAFE,Specific term or phrase
whistle slide flute short,MUSCMisc,SAFE,Specific term or phrase
whistle slide flute,MUSCMisc,SAFE,Specific term or phrase
train whistle long,WHSTMech,SAFE,Specific term or phrase
train whistle short,WHSTMech,SAFE,Specific term or phrase
siren whistle long,WHSTMisc,SAFE,Specific term or phrase
siren whistle short,WHSTMisc,SAFE,Specific term or phrase
whistle pea long,WHSTMisc,SAFE,Specific term or phrase
whistle pea short,WHSTMisc,SAFE,Specific term or phrase
whistle pea trill,WHSTMisc,SAFE,Specific term or phrase
whistle pea,WHSTMisc,SAFE,Specific term or phrase
whistle referee long,WHSTMisc,SAFE,Specific term or phrase
whistle referee short,WHSTMisc,SAFE,Specific term or phrase
whistle referee trill,WHSTMisc,SAFE,Specific term or phrase
whistle referee,WHSTMisc,SAFE,Specific term or phrase
whistle samba long,WHSTMisc,SAFE,Specific term or phrase
whistle samba short,WHSTMisc,SAFE,Specific term or phrase
whistle samba trill,WHSTMisc,SAFE,Specific term or phrase
whistle samba,WHSTMisc,SAFE,Specific term or phrase
whistle trill long,WHSTMisc,SAFE,Specific term or phrase
whistle trill short,WHSTMisc,SAFE,Specific term or phrase
whistle trill,WHSTMisc,SAFE,Specific term or phrase
finger whistle long,WHSTMout,SAFE,Specific term or phrase
finger whistle short,WHSTMout,SAFE,Specific term or phrase
finger whistle,WHSTMout,SAFE,Specific term or phrase
mouth whistle call,WHSTMout,SAFE,Specific term or phrase
mouth whistle long,WHSTMout,SAFE,Specific term or phrase
mouth whistle short,WHSTMout,SAFE,Specific term or phrase
mouth whistle,WHSTMout,SAFE,Specific term or phrase
wolf whistle long,WHSTMout,SAFE,Specific term or phrase
wolf whistle short,WHSTMout,SAFE,Specific term or phrase
wolf whistle,WHSTMout,SAFE,Specific term or phrase
woodwind whistle long,WHSTMout,SAFE,Specific term or phrase
woodwind whistle short,WHSTMout,SAFE,Specific term or phrase
woodwind whistle,WHSTMout,SAFE,Specific term or phrase
whistle baby long,WHSTMisc,SAFE,Specific term or phrase
whistle baby short,WHSTMisc,SAFE,Specific term or phrase
whistle baby,WHSTMisc,SAFE,Specific term or phrase
whistle cuckoo long,WHSTMisc,SAFE,Specific term or phrase
whistle cuckoo short,WHSTMisc,SAFE,Specific term or phrase
whistle cuckoo,WHSTMisc,SAFE,Specific term or phrase
whistle duck,WHSTMisc,SAFE,Specific term or phrase